"id_sucursal","nombre","direccion","ciudad","telefono"
"1","Plaza Vea Super Corpac","Calle Federico Remington 151","Lima","01-500-0001"
"2","Plaza Vea Primavera","Av. Angamos Este 2337","Lima","01-500-0002"
"3","Plaza Vea La Rambla Brasil","Av. Brasil 702","Lima","01-500-0003"
"4","Plaza Vea Milenia","Av. Paseo de la República 3440","Lima","01-500-0004"
"5","Plaza Vea Super Dasso","Av. Camino Real 1335","Lima","01-500-0005"
"6","Plaza Vea Santa Cruz","Av. Belén Manzana V","Lima","01-500-0006"
"7","Plaza Vea Próceres","Av. José Carlos Mariátegui y Av. Próceres de la Independencia","Lima","01-500-0007"
"8","Plaza Vea El Agustino","Av. José Carlos Mariátegui y Av. Bosque Huanca","Lima","01-500-0008"
"9","Plaza Vea Fernando De Aragón","Fernando De Aragón 18","Lima","01-500-0009"
"10","Plaza Vea La Paz","Av. La Paz 2561","Lima","01-500-0010"
"11","Plaza Vea Fundo la Estrella","Fundo la Estrella 99B","Lima","01-500-0011"
"12","Plaza Vea C. La Mar","C. La Mar 154","Piura","01-500-0012"
"13","Plaza Vea Av. Caminos del Inca","Av. Caminos del Inca 333","Lima","01-500-0013"
"14","Plaza Vea Av. Ayacucho","Av. Ayacucho","Lima","01-500-0014"
"15","Plaza Vea Av. Javier Prado Este","Av. Javier Prado Este 4200","Lima","01-500-0015"
"16","Plaza Vea Av. Alfredo Benavides","Av. Alfredo Benavides","Lima","01-500-0016"
"17","Plaza Vea Jirón Jacarandá","Jirón Jacarandá","Lima","01-500-0017"
"18","Plaza Vea Los Olivos","Av. Antúnez de Mayolo Cdra 9","Lima","01-500-0018"
"19","Plaza Vea Universitaria","Av. Universitaria Cdra. 13","Lima","01-500-0019"
"20","Plaza Vea Super KIO","Carretera Panamericana Sur Km 25","Lima","01-500-0020"
"21","Plaza Vea SAN PEDRO","Av. San Pedro y Antigua Panamericana Sur","Lima","01-500-0021"
"22","Plaza Vea Magdalena","Jr. José Gálvez 780","Lima","01-500-0022"
"23","Plaza Vea Bolognesi","Jr. Bolognesi 447","Lima","01-500-0023"
"24","Plaza Vea Avenida Arequipa","Avenida Arequipa 4651","Lima","01-500-0024"
"25","Plaza Vea Los Chirimoyos","Los Chirimoyos s/n","Moquegua","01-500-0025"
"26","Plaza Vea Av. Fermín Tanguis","Av. Fermín Tanguis 285","Ica","01-500-0026"
"27","Plaza Vea Av. Sánchez Cerro","Av. Sánchez Cerro","Piura","01-500-0027"
"28","Plaza Vea Óvalo Grau","Óvalo Grau","Piura","01-500-0028"
"29","Plaza Vea San Juan de Dios","Av. San Juan de Dios 303","Puente Piedra, Lima","01-500-0029"
"30","Plaza Vea Jr. Los Incas","Jr. Los Incas s/n","Puno","01-500-0030"
"31","Plaza Vea Rímac","Av. Tarapacá 455","Rímac, Lima","01-500-0031"
"32","Plaza Vea Acho","Marañón 601","Rímac, Lima","01-500-0032"
